Date,Room,GPP,R_leaf,R_stem,R_root,R_leaf_se,R_stem_se,R_root_se,LA,LA_SE,Leafmass,Leafmass_SE,Stemmass,Stemmass_SE,Rootmass,Rootmass_SE
9/02/2016,3,0.382179043,0.043124638,0.027712459,0.0281384,0.000246059,0.000359376,9.37E-05,0.061370063,0.002384385,1.267938713,0.053135103,0.545616696,0.028073353,0.497345558,0.018165427
29/01/2016,3,0.130686233,0.045680939,0.027601069,0.028025298,0.000246059,0.000359376,9.37E-05,0.021927309,0.000980437,0.417261253,0.01990685,0.147607653,0.008929478,0.190094869,0.008066895
27/01/2016,3,0.073593992,0.04769086,0.027057792,0.02747367,0.000246059,0.000359376,9.37E-05,0.017334375,0.000797101,0.32114348,0.015782756,0.105700917,0.006616832,0.153381521,0.006685676
25/01/2016,3,0.055368692,0.048743233,0.02617744,0.026579787,0.000246059,0.000359376,9.37E-05,0.015070316,0.00069931,0.277346619,0.013779838,0.089203148,0.005622033,0.134107708,0.005888342
3/02/2016,3,0.28707944,0.043255023,0.027547828,0.027971238,0.000246059,0.000359376,9.37E-05,0.039231832,0.001652643,0.788357971,0.035520027,0.315896908,0.018005714,0.32547708,0.012979654
12/01/2016,3,0.029303899,0.047260382,0.027299969,0.02771957,0.000246059,0.000359376,9.37E-05,0.004494989,0.000218156,0.084774998,0.004355723,0.021153473,0.00135534,0.042695371,0.001899472
10/02/2016,3,0.50247746,0.042251307,0.028121003,0.028553223,0.000246059,0.000359376,9.37E-05,0.06620377,0.002443921,1.376422737,0.055137003,0.60704723,0.029064755,0.533831824,0.018438441
30/01/2016,3,0.16405311,0.045358745,0.027827628,0.028255339,0.000246059,0.000359376,9.37E-05,0.025388213,0.001114878,0.491480597,0.023029485,0.181265504,0.010744726,0.217171311,0.009049447
24/02/2016,3,0.720252444,0.040590972,0.029749143,0.030206387,0.000246059,0.000359376,9.37E-05,0.127565563,0.005364275,2.796539072,0.134277376,1.399765138,0.073401516,0.985623972,0.0376219
13/01/2016,3,0.040198257,0.04695573,0.028190252,0.028623537,0.000246059,0.000359376,9.37E-05,0.004936843,0.000241304,0.0913221,0.00475804,0.022871386,0.001486156,0.046687703,0.002099172
11/02/2016,3,0.43401442,0.041703698,0.028053352,0.028484532,0.000246059,0.000359376,9.37E-05,0.071037478,0.002503457,1.48490676,0.057138902,0.668477763,0.030056157,0.570318091,0.018711454
31/01/2016,3,0.220033485,0.044631436,0.027558734,0.027982312,0.000246059,0.000359376,9.37E-05,0.028849118,0.00124932,0.565699941,0.026152121,0.214923355,0.012559973,0.244247754,0.010031998
14/02/2016,3,0.529362147,0.041977204,0.029862614,0.030321603,0.000246059,0.000359376,9.37E-05,0.085538599,0.002682064,1.810358831,0.063144599,0.852769364,0.033030365,0.67977689,0.019530495
12/02/2016,3,0.52616686,0.042101625,0.029206428,0.029655331,0.000246059,0.000359376,9.37E-05,0.075871185,0.002562992,1.593390784,0.059140801,0.729908297,0.03104756,0.606804357,0.018984468
1/02/2016,3,0.175278728,0.045259494,0.02706611,0.027482117,0.000246059,0.000359376,9.37E-05,0.032310023,0.001383761,0.639919284,0.029274756,0.248581206,0.01437522,0.271324196,0.01101455
21/02/2016,3,0.557406557,0.041588852,0.029028146,0.029474309,0.000246059,0.000359376,9.37E-05,0.116035462,0.004485754,2.521327277,0.111539314,1.235537207,0.059440146,0.902880944,0.031546028
19/02/2016,3,0.664340166,0.041737205,0.029968625,0.030429243,0.000246059,0.000359376,9.37E-05,0.108594107,0.003442056,2.336639043,0.084614569,1.144173401,0.044477365,0.851441619,0.024263709
